"","INSTNM","GRAD_DEBT_MDN"
"5662","Alliance Computing Solutions","5853"
"5663","InterAmerican Technical Institute","PrivacySuppressed"
"5664","Bay Area Medical Academy","9114"
"5665","Mind Body Institute","PrivacySuppressed"
"5666","Parisian Spa Institute","3167"
"5667","Creative Touch Cosmetology School","PrivacySuppressed"
"5668","LaBarberia Institute of Hair","20000"
"5669","Setting the Standard Barbering and Natural Hair Academy","PrivacySuppressed"
"5670","Bos-Man's Barber College","16500"
"5671","Lawrence & Company College of Cosmetology","PrivacySuppressed"
"5672","Alabama College of Osteopathic Medicine","NULL"
"5673","High Desert Medical College","15866"
"5674","Paul Mitchell the School-Schenectady","6492"
"5675","Beyond Measure Barbering Institute","13101"
"5676","McDougle Technical  Institute","6333"
"5677","Barber Institute of Texas","12500"
"5678","Jupiter Beauty Academy","PrivacySuppressed"
"5679","MedQuest College","9176"
"5680","First Coast Barber Academy","13000"
"5681","Debutantes School of Cosmetology and Nail Technology","7333"
"5682","Paul Mitchell The School-Farmington Hills","9833"
"5683","Paul Mitchell the School-Merrillville","9833"
"5684","Ricci's Academy of Cosmetology","9833"
"5685","Yahweh Beauty Academy","PrivacySuppressed"
"5686","Arizona School of Integrative Studies","8444"
"5687","Lee Professional Institute","PrivacySuppressed"
"5688","Park Place Premier Barber School","16500"
"5689","The Salon Professional Academy-San Jose","6333"
"5690","Tri-Community Adult Education","PrivacySuppressed"
"5691","Jolie Health and Beauty Academy-Turnersville","6861"
"5692","Ross Medical Education Center-Owensboro","9500"
"5693","Ross Medical Education Center-Evansville","9500"
"5694","Ross Medical Education Center-Johnson City","9500"
"5695","North-West College-Anaheim","9500"
"5696","North-West College-Long Beach","9500"
"5697","Branford Hall Career Institute-Amityville","9087"
"5698","Taylor Andrews Academy of Hair Design-Provo","10556"
"5699","University of Florida-Online","15580"
"5700","Ogle School Hair Skin Nails-Stafford","7917"
"5701","University of Phoenix-Arizona","32421"
"5702","University of Phoenix-California","32421"
"5703","University of Phoenix-Florida","32421"
"5704","University of Phoenix-Georgia","32421"
"5705","University of Phoenix-Michigan","32421"
"5706","University of Phoenix-Nevada","32421"
"5707","University of Phoenix-North Carolina","32421"
"5708","University of Phoenix-Texas","32421"
"5709","University of Phoenix-Virginia","32421"
"5710","University of Phoenix-Pennsylvania","32421"
"5711","Tint School of Makeup & Cosmetology-Seattle","5935"
"5712","CEM College-Mayaguez","5000"
"5713","University of West Los Angeles","PrivacySuppressed"
"5714","Rabbinical College Ohr Yisroel","PrivacySuppressed"
"5715","Aveda Institute-Phoenix","6333"
"5716","University of North Texas at Dallas","18502"
"5717","Dermal Science International Aesthetics and Nail Academy","PrivacySuppressed"
"5718","BridgeValley Community & Technical College","9793"
"5719","Northwest College-Medford","7111"
"5720","Houston Training Schools-Gessner","PrivacySuppressed"
"5721","Empire Beauty School-Buffalo","11215"
"5722","Paul Mitchell the School-Toledo","12500"
"5723","Georgia Military College","8694"
"5724","New Horizons Medical Institute-Winder","7231"
"5725","SAE Institute of Technology-Chicago","9500"
"5726","Beau Monde Academy of Cosmetology and Barbering","8973"
"5727","Fountain of Youth Academy of Cosmetology","5491"
"5728","California College San Diego","25726"
"5729","West Coast University-Miami","33319"
"5730","National American University-Harold D. Buckingham Graduate School","24384"
"5731","All Beauty College","6333"
"5732","Aparicio-Levy Technical College","PrivacySuppressed"
"5733","The Vocational Nursing Institute Inc","PrivacySuppressed"
"5734","Hollywood Institute of Beauty Careers-West Palm Beach","6276"
"5735","Hollywood Institute of Beauty Careers-Casselberry","6276"
"5736","Empire Beauty School-Cheltenham","11667"
"5737","High Tech High Graduate School of Education","NULL"
"5738","Coachella Valley Beauty College-Hemet","3169"
"5739","Coastal Pines Technical College","PrivacySuppressed"
"5740","Studio Beauty School","7909"
"5741","Latin Beauty Academy","7333"
"5742","Associated Barber College of San Diego","16500"
"5743","ABCO Technology","PrivacySuppressed"
"5744","International Sports Sciences Association","13000"
"5745","University of Texas Health Science Center at Tyler","NULL"
"5746","California Intercontinental University","6485"
"5747","Infinity College","6333"
"5748","Universal Healthcare Careers College","PrivacySuppressed"
"5749","MKG Beauty & Business","6333"
"5750","New Beginnings Beauty Academy","PrivacySuppressed"
"5751","Dolce LLC The Academy","9833"
"5752","American College of the Building Arts","PrivacySuppressed"
"5753","River Valley School of Massage","PrivacySuppressed"
"5754","The Beauty School","PrivacySuppressed"
"5755","Atlantis University","23773"
"5756","Westchester School for Dental Assistant","4247"
"5757","K & G 5 Star Barber College","16500"
"5758","Studio Incamminati","PrivacySuppressed"
"5759","Salon Boutique Academy","7916"
"5760","GA Beauty & Barber School","3444"
"5761","The Recording Conservatory of Austin","PrivacySuppressed"
"5762","VH Barber & Styling Academy","15194"
"5763","Bet Medrash Gadol Ateret Torah","PrivacySuppressed"
"5764","Yeshiva Ohr Yisrael","PrivacySuppressed"
"5765","Yeshiva Sholom Shachna","PrivacySuppressed"
"5766","Elmezzi Graduate School of Molecular Medicine","NULL"
"5767","Professional Academy of Cosmetology","PrivacySuppressed"
"5768","Theatre of Arts","19050"
"5769","Westchester College of Nursing & Allied Health","PrivacySuppressed"
"5770","Treasure Coast Technical College","PrivacySuppressed"
"5771","American College of Barbering","12125"
"5772","Beth Medrash Meor Yitzchok","PrivacySuppressed"
"5773","Mingo Extended Learning Center","PrivacySuppressed"
"5774","San Ignacio University","PrivacySuppressed"
"5775","ZMS The Academy","PrivacySuppressed"
"5776","Valor Christian College","15005"
"5777","Bethany Global University","12000"
"5778","Bella Academy of Cosmetology","PrivacySuppressed"
"5779","Princess Beauty School","PrivacySuppressed"
"5780","HVAC Technical Institute","6851"
"5781","United International College","PrivacySuppressed"
"5782","San Francisco Film School","PrivacySuppressed"
"5783","Center for Ultrasound Research & Education","13828"
"5784","Culinary Tech Center","6333"
"5785","Randolph Technical Center","PrivacySuppressed"
"5786","AMG School of Licensed Practical Nursing","14167"
"5787","Saint Michael College of Allied Health","17713"
"5788","Presidio Graduate School","PrivacySuppressed"
"5789","Sandra Academy of Salon Services Inc","11501"
"5790","Wright Graduate University for the Realization of Human Potential","NULL"
"5791","California Jazz Conservatory","PrivacySuppressed"
"5792","California Barber and Beauty College","PrivacySuppressed"
"5793","Laredo CHI Academy Beauty School","PrivacySuppressed"
"5794","Florida International Training Institute","PrivacySuppressed"
"5795","The Training Domain","PrivacySuppressed"
"5796","Gould's Academy","7677"
"5797","Aviation Institute of Maintenance-Freemont","31000"
"5798","Paul Mitchell the School-Tulsa","9833"
"5799","PPG Technical College","PrivacySuppressed"
"5800","Wave Leadership College","PrivacySuppressed"
"5801","Academy of Professional Cosmetology","6211"
"5802","Empire Beauty School-Northlake","13583"
"5803","Ross Medical Education Center-Huntsville","9500"
"5804","Ross Medical Education Center-Knoxville","9500"
"5805","Jolie Health & Beauty Academy-Cherry Hill","7667"
"5806","Ross Medical Education Center-Muncie","9500"
"5807","Cortiva Institute-Arlington","7521"
"5808","Tulsa Welding School-Houston","9500"
"5809","Pima Medical Institute-El Paso","9500"
"5810","Pima Medical Institute-Phoenix","8194"
"5811","Kennesaw State University","24000"
"5812","Davines Professional Academy of Beauty and Business","11975"
"5813","All Beauty College","6333"
"5814","Eastern Suffolk BOCES","8615"
"5815","Eastern Suffolk BOCES","8615"
"5816","Milligan University","25000"
"5817","Chamberlain University-Nevada","22204"
"5818","Chamberlain University-Michigan","22204"
"5819","Chamberlain University-New Jersey","22204"
"5820","Hussian College-Los Angeles","16666"
"5821","Paul Mitchell the School-Madison","10194"
"5822","The University of Tennessee Health Science Center","12500"
"5823","Unitech Training Academy-New Orleans","8395"
"5824","Wade Gordon Hairdressing Academy-Lubbock","9833"
"5825","Protege Academy","9833"
"5826","Emory University-Oxford College","16556"
"5827","The Chicago School of Professional Psychology at Xavier University of Louisiana","20000"
"5828","Southern Regional Technical College","PrivacySuppressed"
"5829","Texas College of Cosmetology-Lubbock","PrivacySuppressed"
"5830","University of Arizona-Sierra Vista","20137"
"5831","Fortis College-Cuyahoga Falls","13000"
"5832","Sunstate Academy-Jones Technical Institute","9500"
"5833","Texas State Technical College","9500"
"5834","Aveda Institute Portland-Vancouver Campus","7914"
"5835","Arizona College of Nursing-Las Vegas","9500"
"5836","Florida Career College-Pembroke Pines","9500"
"5837","Florida Career College-West Palm Beach","9500"
"5838","Florida Career College-Hialeah","9500"
"5839","Florida Career College-Lauderdale Lakes","9500"
"5840","Florida Career College-Tampa","9500"
"5841","Florida Career College-Jacksonville","9500"
"5842","Florida Career College-Boynton Beach","9500"
"5843","Florida Career College-Margate","9500"
"5844","Florida Career College-Orlando","9500"
"5845","United Education Institute - UEI College - Phoenix","9500"
"5846","Florida Career College-Houston","9500"
"5847","Aveda Institute-Madison","6333"
"5848","Husson University","27000"
"5849","Tricoci University of Beauty Culture-Elgin","7402"
"5850","Concorde Career College-Southaven","9500"
"5851","Universal Technical Institute-Southern California","14243"
"5852","Northwest University-College of Adult and Professional Studies","20500"
"5853","Celebrity Barber School","9833"
"5854","California Institute of Advanced Management","NULL"
"5855","Academy of Interactive Entertainment","12000"
"5856","The Temple Annapolis-A Paul Mitchell Partner School","9833"
"5857","Yeshiva Zichron Aryeh","PrivacySuppressed"
"5858","Butte County Regional Occupational Program","5000"
"5859","Arclabs","9500"
"5860","Top of the Line Barber College","PrivacySuppressed"
"5861","Midfield Institute of Cosmetology","PrivacySuppressed"
"5862","American Institute of Alternative Medicine","PrivacySuppressed"
"5863","Felbry College School of Nursing","9500"
"5864","Regional Center for Border Health","PrivacySuppressed"
"5865","B-Unique Beauty and Barber Academy","PrivacySuppressed"
"5866","Kentucky Horseshoeing School","PrivacySuppressed"
"5867","Tri-State Barber College","PrivacySuppressed"
"5868","Image Maker Beauty Institute","9833"
"5869","Dalton Institute of Esthetics and Cosmetology","5500"
"5870","CAAN Academy of Nursing","10796"
"5871","Martinsburg College","PrivacySuppressed"
"5872","Alhambra Medical University","PrivacySuppressed"
"5873","Central Yeshiva Beth Joseph","PrivacySuppressed"
"5874","Garden State Science and Technology Institute","7214"
"5875","Barber Tech Academy","PrivacySuppressed"
"5876","Abraham Lincoln University","PrivacySuppressed"
"5877","Construction Training Center","9500"
"5878","Med Academy","22084"
"5879","Huntington University of Health Sciences","PrivacySuppressed"
"5880","Sonoran Desert Institute","12000"
"5881","Yeshivas Maharit D'Satmar","PrivacySuppressed"
"5882","Natural Images Beauty College","13304"
"5883","Textures Institute of Cosmetology","PrivacySuppressed"
"5884","Learning Bridge Career Institute","6333"
"5885","PiBerry Institute","9500"
"5886","Ea La Mar's Cosmetology & Barber College","PrivacySuppressed"
"5887","Regina Webb Academy","PrivacySuppressed"
"5888","DeHart Technical School","8950"
"5889","Medical Career & Technical College","4586"
"5890","Center for Neurosomatic Studies","PrivacySuppressed"
"5891","Lebanon College of Cosmetology","PrivacySuppressed"
"5892","Focus Personal Training Institute","PrivacySuppressed"
"5893","Hair Academy School of Barbering & Beauty","PrivacySuppressed"
"5894","Fosbre Academy of Hair Design","10786"
"5895","National Personal Training Institute","6333"
"5896","Mission Beauty Institute","2333"
"5897","Elim Bible Institute and College","10000"
"5898","Beth Medrash of Asbury Park","PrivacySuppressed"
"5899","Hope College of Arts and Sciences","15469"
"5900","Yeshiva Gedolah Shaarei Shmuel","PrivacySuppressed"
"5901","Premier Barber Institute","13583"
"5902","International Beauty Education Center","6333"
"5903","Claremont Lincoln University","NULL"
"5904","Phipps Academy of Barbering","9593"
"5905","Hoss Lee Academy","6333"
"5906","Indiana Wellness College","6933"
"5907","Kenny's Academy of Barbering","16500"
"5908","Seattle Film Institute","12125"
"5909","Arkansas Colleges of Health Education","NULL"
"5910","Burrell College of Osteopathic Medicine","NULL"
"5911","Glitz School of Cosmetology","7307"
"5912","Indiana Wesleyan University-National & Global","24250"
"5913","Northeast Lakeview College","PrivacySuppressed"
"5914","Paul Mitchell the School-Jessup","9833"
"5915","John Patrick University of Health and Applied Sciences","PrivacySuppressed"
"5916","University of Saint Katherine","21500"
"5917","Teachers College of San Joaquin","NULL"
"5918","Totally Cosmo School of Modern Cosmetology","16500"
"5919","U.S. Truck Driver Training School","PrivacySuppressed"
"5920","South Dade Technical College","PrivacySuppressed"
"5921","Wongu University of Oriental Medicine","NULL"
"5922","Alabama School of Nail Technology & Cosmetology","PrivacySuppressed"
"5923","International Diving Institute","PrivacySuppressed"
"5924","Tulsa Technology Center","PrivacySuppressed"
"5925","Ross Medical Education Center-Elyria","9500"
"5926","Ross Medical Education Center-Lafayette","9500"
"5927","Ross Medical Education Center-Midland","9500"
"5928","Paul Mitchell the School-Clear Lake","12600"
"5929","Paul Mitchell the School-Nampa","9500"
"5930","House of Heavilin Beauty College-Academy of Beauty Professionals","7917"
"5931","House of Heavilin Beauty College-Academy of Beauty Professionals","7917"
"5932","House of Heavilin Beauty College-Academy of Beauty Professionals","7917"
"5933","Kenneth Shuler School of Cosmetology-Goose Creek","5893"
"5934","Clovis Community College","PrivacySuppressed"
"5935","Boca Beauty Academy-Parkland","6333"
"5936","American Beauty Academy-West Valley Campus","9500"
"5937","Caribbean Aviation Training Institute Inc","PrivacySuppressed"
"5938","The College of Health Care Professions-McAllen Campus","9500"
"5939","Chamberlain University-North Carolina","22204"
"5940","Chamberlain University-California","22204"
"5941","Spartan College of Aeronautics and Technology","20000"
"5942","Milan Institute-Bakersfield West","6333"
"5943","Purdue University Global","25490"
"5944","Pima Medical Institute-Dillon","8273"
"5945","Arthur's Beauty College","12000"
"5946","West Coast University-Center for Graduate Studies","33319"
"5947","Carolina University","14500"
"5948","National Personal Training Institute-Tampa","6333"
"5949","Presbyterian Theological Seminary in America","PrivacySuppressed"
"5950","HCI College","23500"
"5951","Southern States University","NULL"
"5952","Great Lakes Truck Driving School","5481"
"5953","America Evangelical University","PrivacySuppressed"
"5954","Gadsden Technical Institute","NULL"
"5955","Virginia University of Integrative Medicine","NULL"
"5956","Nashville Film Institute","5500"
"5957","Los Angeles Academy of Figurative Art","PrivacySuppressed"
"5958","Westcliff University","PrivacySuppressed"
"5959","World Class Academy of Beauty Careers","PrivacySuppressed"
"5960","Allied Health Careers Institute","PrivacySuppressed"
"5961","Sacramento Ultrasound Institute","PrivacySuppressed"
"5962","Regan Career Institute","PrivacySuppressed"
"5963","Bolivar Technical College","15000"
"5964","Baldy View Regional Occupational Program","PrivacySuppressed"
"5965","MAK Beauty Institute","PrivacySuppressed"
"5966","Reformed University","PrivacySuppressed"
"5967","Mobile Technical Training","PrivacySuppressed"
"5968","American Barber and Beauty Academy","9551"
"5969","Master's Barber & Styling College","PrivacySuppressed"
"5970","Yeshiva Shaar Ephraim","PrivacySuppressed"
"5971","California Institute of Arts & Technology","17412"
"5972","Elite Cosmetology Barber & Spa Academy","7917"
"5973","Cutting Edge Academy","7667"
"5974","Yeshiva Bais Aharon","PrivacySuppressed"
"5975","Mechon L'hoyroa","PrivacySuppressed"
"5976","My Beauty & Barber College","14144"
"5977","Elyon College","PrivacySuppressed"
"5978","Western Michigan University Homer Stryker M.D. School of Medicine","NULL"
"5979","Harmony Health Care Institute","12685"
"5980","American Beauty Schools","PrivacySuppressed"
"5981","Hogan Institute of Cosmetology and Esthetics","10666"
"5982","J's Barber College","PrivacySuppressed"
"5983","Ann Webb Skin Institute","7917"
"5984","Apex Academy Hair Skin Nails School of Cosmetology","PrivacySuppressed"
"5985","The Esthetic Institute","PrivacySuppressed"
"5986","Kor Beauty Academy","10270"
"5987","EduMed Partners","PrivacySuppressed"
"5988","Massage Institute of Memphis","PrivacySuppressed"
"5989","Metro Detroit Barber College","NULL"
"5990","Digital Media Institute at InterTech","PrivacySuppressed"
"5991","Yeshiva Ohr Naftoli","PrivacySuppressed"
"5992","Bais Medrash Mayan Hatorah","PrivacySuppressed"
"5993","Allgood Beauty Institute","PrivacySuppressed"
"5994","Ray J's College of Hair","14179"
"5995","Delta Designs Cosmetology School","PrivacySuppressed"
"5996","Gwinnett Institute","17605"
"5997","Career Quest Learning Center-Mt. Pleasant","9500"
"5998","Kansas City University of Medicine and Biosciences-Joplin","PrivacySuppressed"
"5999","Manuel and Theresa's School of Hair Design","6953"
"6000","Cincinnati School of Barbering & Hair Design","NULL"
"6001","L Makeup Institute","PrivacySuppressed"
"6002","Peloton College","9500"
"6003","Northern Technical College","9833"
"6004","Maine Media College","NULL"
"6005","Purdue University Northwest","21207"
"6006","Ross Medical Education Center - Kalamazoo","9500"
"6007","Ross College-Canton","9500"
"6008","Ross College-Grand Rapids North","9500"
"6009","American Institute-Somerset","12074"
"6010","Platt College-Anaheim","18873"
"6011","Advantage Career Institute","4856"
"6012","Bull City Durham Beauty and Barber College","10036"
"6013","Fortis College-Cutler Bay","13380"
"6014","Yeshiva Kollel Tifereth Elizer","PrivacySuppressed"
"6015","Strand Institute of Beauty & Esthetics","7917"
"6016","Arkansas Welding Academy","PrivacySuppressed"
"6017","Unitech Training Academy-Baton Rouge","8395"
"6018","National American University-Garden City","24384"
"6019","Empire Beauty School-Tampa","11667"
"6020","Empire Beauty School-Lakeland","12054"
"6021","Galen College of Nursing-ARH","23003"
"6022","The Chicago School of Professional Psychology at San Diego","20000"
"6023","Tricoci University of Beauty Culture-Janesville","13333"
"6024","Unlimited Cosmetology School","PrivacySuppressed"
"6025","Johnny Matthew's Hairdressing Training School","9500"
"6026","The Culinary School of Fort Worth","9500"
"6027","Centralia Beauty College","PrivacySuppressed"
"6028","University of Wisconsin-Milwaukee Flex","23948"
"6029","University of Wisconsin-Parkside Flex","21375"
"6030","Platt College-Edge Tech Academy","14000"
"6031","Bnos Zion Of Bobov Seminary","PrivacySuppressed"
"6032","ABC Adult School","NULL"
"6033","Polytech Adult Education","PrivacySuppressed"
"6034","Blush School of Makeup","PrivacySuppressed"
"6035","California Institute of Medical Science","6670"
"6036","Union Bible College","PrivacySuppressed"
"6037","Pets Playground Grooming School","PrivacySuppressed"
"6038","San Bernardino Beauty College","14437"
"6039","Christina and Company Education Center","PrivacySuppressed"
"6040","Institute of Medical Ultrasound","16167"
"6041","Mystros Barber Academy","PrivacySuppressed"
"6042","European Medical School of Massage","PrivacySuppressed"
"6043","Yeshiva Gedolah Tiferes Boruch","PrivacySuppressed"
"6044","Yeshiva Chemdas Hatorah","PrivacySuppressed"
"6045","Women's Institute of Torah Seminary and College","PrivacySuppressed"
"6046","Yeshiva Gedolah Keren Hatorah","PrivacySuppressed"
"6047","ICOHS College","6887"
"6048","Neo-Esthetique European Institute","PrivacySuppressed"
"6049","Lehigh Valley Barber School","PrivacySuppressed"
"6050","International Barber College","PrivacySuppressed"
"6051","Brown Beauty Barber School","16500"
"6052","Rexburg College of Massage Therapy","PrivacySuppressed"
"6053","Yeshiva Gedolah of Cliffwood","PrivacySuppressed"
"6054","Goshen School of Cosmetology","13667"
"6055","IBS School of Cosmetology and Massage","PrivacySuppressed"
"6056","UR Beauty & Barber Academy","PrivacySuppressed"
"6057","Urban Barber College","9855"
"6058","Yeshivas Emek Hatorah","PrivacySuppressed"
"6059","Transitions Career Institute School of Nursing","9500"
"6060","Suncoast Technical Education Center","NULL"
"6061","Stacey James Institute","PrivacySuppressed"
"6062","Meridian University","NULL"
"6063","Seminary Bnos Chaim","PrivacySuppressed"
"6064","Avenue Academy A Cosmetology Institute","6333"
"6065","Salon Professional Academy of San Antonio","7917"
"6066","Red Lake Nation College","PrivacySuppressed"
"6067","Princess Institute of Beauty","10555"
"6068","Vogue International Academy","NULL"
"6069","Independent Training & Apprenticeship Program","PrivacySuppressed"
"6070","Victory Career College","5573"
"6071","Winonah's International School of Cosmetology","6861"
"6072","Yeshiva Gedola Tiferes Yerachmiel","PrivacySuppressed"
"6073","Southeastern Esthetics Institute","6333"
"6074","Installer Institute","PrivacySuppressed"
"6075","Caris College","8921"
"6076","Contra Costa Medical Career College","PrivacySuppressed"
"6077","Anousheh School of Hair","PrivacySuppressed"
"6078","Another Level Barbering and Cosmetology School","9833"
"6079","The Salon Professional Academy-Georgetown","9833"
"6080","Elite Academy of Hair Design","PrivacySuppressed"
"6081","Champion Christian College","PrivacySuppressed"
"6082","D&S School of Cosmetology","PrivacySuppressed"
"6083","DSDT","PrivacySuppressed"
"6084","Houston School of Carpentry","PrivacySuppressed"
"6085","Reiss-Davis Graduate School","NULL"
"6086","GoodFellas Barber College","PrivacySuppressed"
"6087","The Salon Professional Academy-Delray Beach","6333"
"6088","Lynnes Welding Training-Bismarck","PrivacySuppressed"
"6089","Toni & Guy Hairdressing Academy-Idaho","12237"
"6090","No Grease Barber School","10036"
"6091","Pima Medical Institute-San Marcos","9500"
"6092","EDP University of Puerto Rico-Villalba","11400"
"6093","National American University-Killeen","24384"
"6094","Wade Gordon Hairdressing Academy","9833"
"6095","Chicago School of Professional Psychology at Dallas","20000"
"6096","American Massage & Bodywork Institute","7389"
"6097","KCK Beauty & Barber Academy","PrivacySuppressed"
"6098","California College of Barbering and Cosmetology","7888"
"6099","Texas Tech University Health Sciences Center-El Paso","PrivacySuppressed"
"6100","Ponce Health Sciences University-Centro Universitario de San Juan","PrivacySuppressed"
"6101","The College of Health Care Professions-South San Antonio","9500"
"6102","Innovate Salon Academy","6333"
"6103","Chamberlain University-Louisiana","22204"
"6104","Drury University-College of Continuing Professional Studies","20500"
"6105","Global Medical & Technical Training Institute","9500"
"6106","Salon Success Academy-West Covina","7177"
"6107","Indiana Institute of Technology-College of Professional Studies","27000"
"6108","Advantage Technical College","PrivacySuppressed"
"6109","Institute of Culinary Education","6439"
"6110","Universal Technical Institute-Bloomfield","15036"
"6111","Gould's Academy","7677"
"6112","Toni & Guy Hairdressing Academy-Rio Rancho","10556"
"6113","Career Quest Learning Center-Bay City Branch","9500"
"6114","WellSpring School of Allied Health-Springfield","7917"
"6115","Medical Career College of Northern California","PrivacySuppressed"
"6116","Premiere International College","NULL"
"6117","Kenny's Beauty Academy","PrivacySuppressed"
"6118","American Fitness and Nutrition Academy","PrivacySuppressed"
"6119","San Diego Global Knowledge University","NULL"
"6120","Global Tech College","PrivacySuppressed"
"6121","Bristol School of Hair Design","PrivacySuppressed"
"6122","MCI","PrivacySuppressed"
"6123","Central Pennsylvania Diesel Institute","PrivacySuppressed"
"6124","Bellasa Professional Institute","NULL"
"6125","PMCA Pittsburgh Multicultural Cosmetology Academy","PrivacySuppressed"
"6126","Health and Technology Training Institute","NULL"
"6127","Yeshiva of Ocean","NULL"
"6128","Congregation Talmidei Mesivta Tiferes Shmiel Aleksander","PrivacySuppressed"
"6129","Young Americans College of the Performing Arts","PrivacySuppressed"
"6130","Pro Beauty Academy","PrivacySuppressed"
"6131","South Eastern Beauty Academy","NULL"
"6132","Ohel Margulia Seminary","NULL"
"6133","Montana Barber Institute","PrivacySuppressed"
"6134","Yeshivat Hechal Shemuel","PrivacySuppressed"
"6135","Puerto Rico School of Nurse Anesthetists","NULL"
"6136","American Institute of Healthcare & Technology","PrivacySuppressed"
"6137","Premier Academy of Cosmetology","PrivacySuppressed"
"6138","Yeshiva Gedolah of Woodlake Village","PrivacySuppressed"
"6139","Yeshiva Gedola Tiferes Yaakov Yitzchok","PrivacySuppressed"
"6140","University of Arkansas System eVersity","PrivacySuppressed"
"6141","Careers Institute of America","PrivacySuppressed"
"6142","Houston Barber School","PrivacySuppressed"
"6143","Health-Tech Institute of Memphis","PrivacySuppressed"
"6144","MIXED Institute of Cosmetology & Barber","PrivacySuppressed"
"6145","Vski Cosmetology School","PrivacySuppressed"
"6146","Shear Perfection Academy of Cosmetology","PrivacySuppressed"
"6147","New York Seminary","NULL"
"6148","Deluxe Barber College","PrivacySuppressed"
"6149","Falcon Institute of Health and Science","PrivacySuppressed"
"6150","College Unbound","PrivacySuppressed"
"6151","Midwest Barber College","PrivacySuppressed"
"6152","SANS Technology Institute","NULL"
"6153","Southern Careers Institute-Waco","8708"
"6154","Elevate Salon Institute","6333"
"6155","Ponce Health Sciences University-St Louis","PrivacySuppressed"
"6156","Lil Lou's Beauty and Barber College-Hammond","15591"
"6157","Arizona College-Dallas","9500"
"6158","Arizona College of Nursing-Tempe","9500"
"6159","The Salon Professional Academy-Washington DC","7581"
"6160","Valley College-Cleveland","9500"
"6161","National American University-Kings Bay","24384"
"6162","EDP University of Puerto Rico-Humacao","11400"
"6163","EDP University of Puerto Rico-Manati","11400"
"6164","UEI College-Sacramento","9500"
"6165","Fortis Institute-Cookeville","13000"
"6166","Paul Mitchell the School-San Jose","6333"
"6167","Derech Hachaim Seminary","NULL"
"6168","Avenue Five Institute-South Austin Campus","7917"
"6169","Glasgow Caledonian New York College","NULL"
"6170","Pima Medical Institute-San Antonio","9500"
"6171","Lotus School of Integrated Professions","PrivacySuppressed"
"6172","Christ Mission College","NULL"
"6173","Esteem Academy of Beauty","PrivacySuppressed"
"6174","KC Beauty Academy","PrivacySuppressed"
"6175","Urshan College","PrivacySuppressed"
"6176","Texas Healthtech Institute","PrivacySuppressed"
"6177","Xtylo Beauty College","PrivacySuppressed"
"6178","Tonsorial Arts Barber College","PrivacySuppressed"
"6179","Michael's Barber & Hair Stylist Academy","NULL"
"6180","Yeshiva Yesoda Hatorah Vetz Chaim","NULL"
"6181","Glendale Career College-Brightwood Teachout","9500"
"6182","West Virginia Junior College-United Career Institute","8848"
"6183","Aviation Institute of Maintenance-Charlotte","30668"
"6184","Ponce Health Sciences University-East","PrivacySuppressed"
"6185","Educational Technical College","PrivacySuppressed"
"6186","Fortis College-Landover","9500"
"6187","Stautzenberger College-Rockford Career College","14099"
"6188","WellSpring School of Allied Health-Wichita","7917"
"6189","Access Careers-Islandia","6099"
"6190","Troy University-Phenix City Campus","25000"
"6191","Troy University-Montgomery Campus","25000"
"6192","Troy University-Dothan Campus","25000"
"6193","Troy University-Online","25000"
"6194","Troy University-Support Sites","25000"
"6195","Arkansas College of Barbering and Hair Design","15969"
"6196","Harding School of Theology","26456"
"6197","Career Academy of Hair Design-Siloam Springs","9149"
"6198","Career Academy of Hair Design-Rogers","9149"
"6199","Career Academy of Hair Design-Fayetteville","9149"
"6200","Career Academy of Hair Design - Fort Smith","9149"
"6201","University of Arkansas Community College at Hope - Texarkana","PrivacySuppressed"
"6202","Alliant International University-Fresno","12500"
"6203","Alliant International University-Los Angeles","12500"
"6204","Alliant International University-San Francisco","12500"
"6205","Alliant International University-Irvine","12500"
"6206","Alliant International University-Sacramento","12500"
"6207","Flashpoint Chicago A Campus of Columbia College Hollywood","22333"
"6208","FIDM-Fashion Institute of Design & Merchandising-Orange County","14165"
"6209","FIDM-Fashion Institute of Design & Merchandising-San Diego","14165"
"6210","San Jose Campus","PrivacySuppressed"
"6211","Franciscan School of Theology - San Diego","NULL"
"6212","Golden Gate University-Seattle","30625"
"6213","Golden Gate University-Silicon Valley","30625"
"6214","Humphreys College-Modesto","33167"
"6215","TONI&GUY Hairdressing Academy - Costa Mesa","11860"
"6216","IDEA at ATEP","6500"
"6217","Life Pacific University-Virginia","21500"
"6218","Marymount University - Waterfront Campus","21500"
"6219","Marymount California University - Lakeside Campus","21500"
"6220","MiraCosta College - San Elijo Campus","9000"
"6221","Mount Saint Mary's University - Doheny Campus","25000"
"6222","San Diego State University-Imperial Valley Campus","15000"
"6223","San Joaquin General Hospital School of Radiation Technology","8617"
"6224","San Joaquin Valley College - Hanford","10673"
"6225","San Joaquin Valley College - Online","10673"
"6226","San Joaquin Valley College - Bakersfield","10673"
"6227","San Joaquin Valley College - Fresno","10673"
"6228","San Joaquin Valley College - Fresno Trades Education Center","10673"
"6229","San Joaquin Valley College - Ontario","10673"
"6230","San Joaquin Valley College - Modesto","10673"
"6231","San Joaquin Valley College - Rancho Cordova","10673"
"6232","San Joaquin Valley College - Hesperia","10673"
"6233","San Joaquin Valley College - Temecula","10673"
"6234","San Joaquin Valley College - Lancaster","10673"
