"","INSTNM","GRAD_DEBT_MDN"
"528","Metropolitan State University of Denver","21500"
"529","Morgan Community College","9549"
"530","Naropa University","25000"
"531","Nazarene Bible College","36253"
"532","Northeastern Junior College","10565"
"533","University of Northern Colorado","20500"
"534","Otero Junior College","9500"
"535","Pikes Peak Community College","9059"
"536","Pueblo Community College","11000"
"537","Red Rocks Community College","9500"
"538","Regis University","25000"
"539","Rocky Mountain College of Art and Design","30838"
"540","Montessori Education Center of the Rockies","PrivacySuppressed"
"541","Colorado State University Pueblo","21923"
"542","Pickens Technical College","PrivacySuppressed"
"543","Intellitec College-Colorado Springs","10981"
"544","Intellitec College-Grand Junction","9888"
"545","Trinidad State Junior College","9000"
"546","United States Air Force Academy","NULL"
"547","Empire Beauty School-Thornton","11250"
"548","Western Colorado University","22441"
"549","Albertus Magnus College","30836"
"550","Asnuntuck Community College","5625"
"551","Bais Binyomin Academy","PrivacySuppressed"
"552","Branford Hall Career Institute-Branford Campus","9087"
"553","University of Bridgeport","26000"
"554","Central Connecticut State University","22000"
"555","Charter Oak State College","18750"
"556","Cortiva Institute-Cromwell","7600"
"557","Connecticut College","23250"
"558","Porter and Chester Institute of Hamden","12360"
"559","University of Connecticut","21500"
"560","Goodwin University","31096"
"561","Lincoln Technical Institute-East Windsor","11250"
"562","Eastern Connecticut State University","23700"
"563","Fairfield University","26322"
"564","Paul Mitchell the School-North Haven","6333"
"565","Capital Community College","8000"
"566","Rensselaer at Hartford","24194"
"567","American Institute-West Hartford","12074"
"568","Hartford Seminary","PrivacySuppressed"
"569","University of Hartford","27000"
"570","Holy Apostles College and Seminary","7750"
"571","Housatonic Community College","6534"
"572","Manchester Community College","4950"
"573","Naugatuck Valley Community College","8000"
"574","Middlesex Community College","6750"
"575","Mitchell College","25500"
"576","Three Rivers Community College","10000"
"577","Lincoln Technical Institute-New Britain","11250"
"578","New England Tractor Trailer Training School of Connecticut","6333"
"579","University of New Haven","27000"
"580","Norwalk Community College","6000"
"581","Northwestern Connecticut Community College","4625"
"582","Paier College of Art Inc","PrivacySuppressed"
"583","Porter and Chester Institute of Stratford","12350"
"584","Post University","29352"
"585","Quinebaug Valley Community College","PrivacySuppressed"
